Lname,Fname,Freq,Times
ALLER,null,1.608762E-6,1,null
ALLERSTON,null,1.608762E-6,1,null
ALLERTON,null,4.826286E-6,3,null
ALLERTSON,null,1.608762E-6,1,null
ALLERUP,null,1.608762E-6,1,null
ALLERY,null,1.608762E-6,1,null
ALLETSON,null,1.608762E-6,1,null
ALLETT,null,4.826286E-6,3,null
ALLEWAY,null,1.608762E-6,1,null
ALLEWELL,null,3.217524E-6,2,null
ALLEY,null,2.0913905E-5,13,null
ALLEYN,null,6.435048E-6,4,null
ALLEYNE,null,1.608762E-6,1,null
ALLEZ,null,1.608762E-6,1,null
ALLFORD,null,1.608762E-6,1,null
ALLFREY,null,1.608762E-6,1,null
ALLGEIR,null,1.608762E-6,1,null
ALLGOOD,null,1.608762E-6,1,null
ALLGROVE,null,4.826286E-6,3,null
ALLHUSON,null,1.608762E-6,1,null
ALLIBAN,null,3.217524E-6,2,null
ALLIBON,null,1.608762E-6,1,null
ALLIE,null,8.043809E-6,5,null
ALLIES,null,1.608762E-6,1,null
ALLIETTE,null,1.608762E-6,1,null
ALLIN,null,4.826286E-5,30,null
ALLINDER,null,1.608762E-6,1,null
ALLINGER,null,1.608762E-6,1,null
ALLINGHAM,null,5.3089145E-5,33,null
ALLINGTON,null,1.608762E-6,1,null
ALLINOT,null,3.217524E-6,2,null
ALLINSON,null,2.5740192E-5,16,null
ALLIOTT,null,1.608762E-6,1,null
ALLIS,null,3.217524E-6,2,null
ALLISON,null,2.3166172E-4,144,null
ALLISS,null,3.217524E-6,2,null
ALLISSON,null,1.608762E-6,1,null
